chain_id	chain_name	chain_symbol
1	Ethereum Mainnet	ETH
56	Binance Smart Chain Mainnet	BNB
42161	Arbitrum One	ETH
137	Polygon Mainnet	MATIC
43114	Avalanche C-Chain	AVAX
10	Optimism	ETH
250	Fantom Opera	FTM
25	Cronos Mainnet Beta	CRO
8217	Klaytn Mainnet Cypress	KLAY
2222	Kava EVM	KAVA
7700	Canto	CANTO
32659	Fusion Mainnet	FSN
42220	Celo Mainnet	CELO
100	Gnosis	xDAI
1284	Moonbeam	GLMR
592	Astar	ASTR
128	Huobi ECO Chain Mainnet	HT
1313161554	Aurora Mainnet	ETH
30	RSK Mainnet	RBTC
1088	Metis Andromeda Mainnet	METIS
66	OKXChain Mainnet	OKT
321	KCC Mainnet	KCS
40	Telos EVM Mainnet	TLOS
1285	Moonriver	MOVR
4689	IoTeX Network Mainnet	IOTX
42262	Oasis Emerald	ROSE
888888	Vision - Mainnet	VS
888	Wanchain	WAN
19	Songbird Canary-Network	SGB
1231	Ultron Mainnet	ULX
1666600000	Harmony Mainnet Shard 0	ONE
2000	Dogechain Mainnet	DOGE
106	Velas EVM Mainnet	VLX
10000	Smart Bitcoin Cash	BCH
1234	Step Network	FITFI
288	Boba Network	ETH
108	ThunderCore Mainnet	TT
82	Meter Mainnet	MTR
50	XinFin XDC Network	XDC
52	CoinEx Smart Chain Mainnet	cet
361	Theta Mainnet	TFUEL
32520	Bitgert Mainnet	Brise
20	Elastos Smart Chain	ELA
122	Fuse Mainnet	FUSE
57	Syscoin Mainnet	SYS
71402	Godwoken Mainnet	pCKB
9001	Evmos	EVMOS
820	Callisto Mainnet	CLO
5551	Nahmii Mainnet	ETH
6969	Tomb Chain Mainnet	TOMB
87	Nova Network	SNT
246	Energy Web Chain	EWT
88	TomoChain	TOMO
336	Shiden	SDN
61	Ethereum Classic Mainnet	ETC
8	Ubiq	UBQ
70	Hoo Smart Chain	HOO
55	Zyx Mainnet	ZYX
47805	REI Network	REI
269	High Performance Blockchain	HPB
55555	REI Chain Mainnet	REI
333999	Polis Mainnet	POLIS
60	GoChain	GO
11297108109	Palm	PALM
420420	Kekchain	KEK
2	Expanse Network	EXP
7	ThaiChain	TCH
11	Metadium Mainnet	META
14	Flare Mainnet	FLR
15	Diode Prenet	DIODE
17	ThaiChain 2.0 ThaiFi	TFI
22	ELA-DID-Sidechain Mainnet	ELA
24	KardiaChain Mainnet	KAI
27	ShibaChain	SHIB
29	Genesis L1	L1
33	GoodData Mainnet	GooD
35	TBWG Chain	TBG
36	Dxchain Mainnet	DX
37	SeedCoin-Network	SEED
38	Valorbit	VAL
44	Darwinia Crab Network	CRAB
46	Darwinia Network	RING
48	Ennothem Mainnet Proterozoic	ETMP
51	XDC Apothem Network	TXDC
54	Openpiece Mainnet	BELLY
58	Ontology Mainnet	ONG
59	EOS Mainnet	EOS
64	Ellaism	ELLA
68	SoterOne Mainnet	SOTER
73	FNCY	FNCY
74	IDChain Mainnet	EIDI
75	Decimal Smart Chain Mainnet	DEL
76	Mix	MIX
77	POA Network Sokol	SPOA
78	PrimusChain mainnet	PETH
79	Zenith Mainnet	ZENITH
80	GeneChain	RNA
86	GateChain Mainnet	GT
90	Garizon Stage0	GAR
91	Garizon Stage1	GAR
92	Garizon Stage2	GAR
93	Garizon Stage3	GAR
96	Bitkub Chain	KUB
99	POA Network Core	POA
101	EtherInc	ETI
111	EtherLite Chain	ETL
113	Dehvo	Deh
116	DeBank Mainnet	ETH
119	ENULS Mainnet	NULS
121	Realchain Mainnet	REAL
123	Fuse Sparknet	SPARK
124	Decentralized Web Mainnet	DWU
126	OYchain Mainnet	OY
127	Factory 127 Mainnet	FETH
142	DAX CHAIN	DAX
144	PHI Network v2	Φ
160	Armonia Eva Chain Mainnet	AMAX
163	Lightstreams Mainnet	PHT
168	AIOZ Network	AIOZ
180	AME Chain Mainnet	AME
186	Seele Mainnet	Seele
188	BMC Mainnet	BTM
193	Crypto Emergency	CEM
199	BitTorrent Chain Mainnet	BTT
200	Arbitrum on xDai	xDAI
211	Freight Trust Network	0xF
217	SiriusNet V2	MCD
218	SoterOne Mainnet old	SOTER
222	Permission	ASK
225	LACHAIN Mainnet	LA
248	Oasys Mainnet	OAS
258	Setheum	SETM
262	SUR Blockchain Network	SRN
295	Hedera Mainnet	HBAR
297	Hedera Previewnet	HBAR
298	Hedera Localnet	HBAR
300	Optimism on Gnosis	xDAI
301	Bobaopera	BOBA
311	Omax Mainnet	OMAX
314	Filecoin - Mainnet	FIL
324	zkSync Era Mainnet	ETH
333	Web3Q Mainnet	W3Q
369	PulseChain Mainnet	PLS
385	Lisinski	LISINS
416	SX Network Mainnet	SX
427	Zeeth Chain	ZTH
499	Rupaya	RUPX
500	Camino C-Chain	CAM
512	Double-A Chain Mainnet	AAC
516	Gear Zero Network Mainnet	GZN
520	XT Smart Chain Mainnet	XT
529	Firechain Mainnet	FIRE
530	F(x)Core Mainnet Network	FX
534	Candle	CNDL
555	Vela1 Chain Mainnet	CLASS
558	Tao Network	TAO
614	Graphlinq Blockchain Mainnet	GLQ
648	Endurance Smart Chain Mainnet	ACE
686	Karura Network	KAR
707	BlockChain Station Mainnet	BCS
721	Lycan Chain	LYC
766	QL1	QOM
777	cheapETH	cTH
787	Acala Network	ACA
800	Lucid Blockchain	LUCID
803	Haic	HAIC
813	Qitmeer	MEER
841	Taraxa Mainnet	TARA
859	Zeeth Chain Dev	ZTH
868	Fantasia Chain Mainnet	FST
876	Bandai Namco Research Verse Mainnet	OAS
877	Dexit Network	DXT
880	Ambros Chain Mainnet	AMBROS
909	Portal Fantasy Chain	PFT
970	Oort Mainnet	CCN
971	Oort Huygens	CCN
972	Oort Ascraeus	CCNA
977	Nepal Blockchain Network	YETI
980	TOP Mainnet EVM	ETH
985	Memo Smart Chain Mainnet	CMEMO
989	TOP Mainnet	TOP
998	Lucky Network	L99
1000	GTON Mainnet	GCD
1008	Eurus Mainnet	EUN
1010	Evrice Network	EVC
1012	Newton	NEW
1022	Sakura	SKU
1024	CLV Parachain	CLV
1030	Conflux eSpace	CFX
1039	Bronos Mainnet	BRO
1099	MOAC mainnet	mc
1111	WEMIX3.0 Mainnet	WEMIX
1116	Core Blockchain Mainnet	CORE
1117	Dogcoin Mainnet	DOGS
1130	DeFiChain EVM Network Mainnet	DFI
1139	MathChain	MATH
1197	Iora Chain	IORA
1202	World Trade Technical Chain Mainnet	WTT
1213	Popcateum Mainnet	POP
1214	EnterChain Mainnet	ENTER
1229	Exzo Network Mainnet	XZO
1246	OM Platform Mainnet	OM
1280	HALO Mainnet	HO
1286	Moonrock old	ROC
1287	Moonbase Alpha	DEV
1288	Moonrock	ROC
1294	Bobabeam	BOBA
1311	Dos Fuji Subnet	DOS
1314	Alyx Mainnet	ALYX
1319	Aitd Mainnet	AITD
1339	Elysium Mainnet	LAVA
1353	CIC Chain Mainnet	CIC
1388	AmStar Mainnet	SINSO
1455	Ctex Scan Blockchain	CTEX
1506	Sherpax Mainnet	KSX
1515	Beagle Messaging Chain	BG
1618	Catecoin Chain Mainnet	CATE
1620	Atheios	ATH
1657	Btachain	BTA
1688	LUDAN Mainnet	LUDAN
1701	Anytype EVM Chain	ANY
1707	TBSI Mainnet	JINDA
1818	Cube Chain Mainnet	CUBE
1856	Teslafunds	TSF
1898	BON Network	BOY
1907	Bitcichain Mainnet	BITCI
